"","day","01_own","anki_craft","bhs","active_recall","misc","02_exam","lectures","total_mins","place_study"
"1","2024-06-18",6.16,30,179,0,0,0,0,215.16,"Home"
"2","2024-06-19",1.79,34,207,0,0,0,0,242.79,"Home"
"3","2024-06-20",4.22,85,200,0,0,0,0,289.22,"Home"
"4","2024-06-21",10.44,82,68,0,0,0,0,160.44,"Home"
"5","2024-06-22",7.52,0,0,110,0,0,0,117.52,"Home"
"6","2024-06-23",3.9,0,123,0,0,0,0,126.9,"Home"
"7","2024-06-24",8.56,43,243,0,0,0,0,294.56,"Home"
"8","2024-06-25",11.85,27,278,0,0,0,0,316.85,"Home"
"9","2024-06-26",13.09,38,221,0,0,0,0,272.09,"Home"
"10","2024-06-27",14.32,15,182,0,0,0,0,211.32,"Home"
"11","2024-06-28",6.35,51,146,0,0,0,0,203.35,"Home"
"12","2024-06-29",8.89,0,0,110,0,0,0,118.89,"Home"
"13","2024-06-30",13.62,0,72,0,0,0,0,85.62,"Home"
"14","2024-07-01",5.42,0,74,0,0,0,0,79.42,"Home"
"15","2024-07-02",10.22,21,126,0,0,0,0,157.22,"Home"
"16","2024-07-03",5.3,21,68,0,0,0,0,94.3,"Home"
"17","2024-07-04",6.47,0,60,0,0,0,0,66.47,"Home"
"18","2024-07-05",2.31,0,0,0,0,0,0,2.31,"Home"
"19","2024-07-06",1.86,0,0,0,0,0,0,1.86,"Home"
"20","2024-07-07",8.03,10,0,48,40,0,0,106.03,"Home"
"21","2024-07-08",4.13,0,0,0,0,0,0,4.13,"Home"
"22","2024-07-09",3.46,0,44,0,0,0,0,47.46,"Home"
"23","2024-07-10",0.67,20,93,0,0,0,0,113.67,"Home"
"24","2024-07-11",5.9,0,40,0,0,0,0,45.9,"Home"
"25","2024-07-12",2.1,0,149,0,0,0,0,151.1,"Home"
"26","2024-07-13",4.77,0,0,0,27,0,0,31.77,"Home"
"27","2024-07-14",5.15,0,0,184,0,0,0,189.15,"Home"
"28","2024-07-15",4.71,46,0,88,0,0,0,138.71,"Home"
"29","2024-07-16",2.9,19,197,0,0,1.82,0,220.72,"Home"
"30","2024-07-17",3.76,0,35,0,0,1.81,88,128.57,"Home"
"31","2024-07-18",4.38,0,119,0,0,0.96,0,124.34,"Home"
"32","2024-07-19",1.31,0,126,0,0,1,0,128.31,"Home"
"33","2024-07-20",3.71,0,0,0,0,2.3,0,6.01,"Home"
"34","2024-07-21",5.51,0,0,0,0,2.4,0,7.91,"Home"
"35","2024-07-22",1.07,0,0,0,0,0.83,0,1.9,"Home"
"36","2024-07-23",1.82,0,0,0,0,0.71,0,2.53,"Home"
"37","2024-07-24",5.68,0,0,0,0,2.88,0,8.56,"Home"
"38","2024-07-25",12.84,84,0,0,0,0.32,0,97.16,"Home"
"39","2024-07-26",6.6,0,0,0,0,1.02,0,7.62,"Home"
"40","2024-07-27",9.83,0,0,0,0,2.29,0,12.12,"Home"
"41","2024-07-28",5.82,0,0,0,0,0.05,0,5.87,"Home"
"42","2024-07-29",7.17,0,136,0,0,2.21,0,145.38,"Home"
"43","2024-07-30",8.41,20,105,0,0,0.21,85,218.62,"Home"
"44","2024-07-31",12.84,25,149,0,0,0.98,115,302.82,"Home"
"45","2024-08-01",5.9,51,146,0,15,0.48,0,218.38,"Home"
"46","2024-08-02",7.06,36,0,0,0,0.64,0,43.7,"Home"
"47","2024-08-03",10.86,0,0,0,0,1.38,0,12.24,"Home"
"48","2024-08-04",5.52,0,56,142,0,0.82,0,204.34,"Home"
"49","2024-08-05",8.8,0,0,0,0,1.97,204,214.77,"Home"
"50","2024-08-06",3.65,0,286,0,0,0.78,0,290.43,"Home"
"51","2024-08-07",1.92,35,106,0,0,0.41,0,143.33,"Home"
"52","2024-08-08",6.22,0,196,0,0,0.64,113,315.86,"Home"
"53","2024-08-09",9.79,0,98,0,0,2.02,0,109.81,"Home"
"54","2024-08-10",2.56,0,0,116,0,0.22,0,118.78,"Home"
"55","2024-08-11",5.18,0,0,67,0,0,0,72.18,"Home"
"56","2024-08-12",2.47,64,174,0,0,0.86,0,241.33,"Home"
"57","2024-08-13",5.6,0,236,0,0,0,0,241.6,"Home"
"58","2024-08-14",4.88,0,53,0,0,0.15,0,58.03,"Home"
"59","2024-08-15",6.14,61,126,0,0,0.16,0,193.3,"Home"
"60","2024-08-16",6.9,52,163,0,0,0,0,221.9,"Home"
"61","2024-08-17",9.32,0,0,73,0,0.39,0,82.71,"Home"
"62","2024-08-18",5.13,0,45,16,0,0.12,0,66.25,"Home"
"63","2024-08-19",13.4,62,154,0,0,0,0,229.4,"Home"
"64","2024-08-20",10.13,19,182,0,0,0.44,0,211.57,"Home"
"65","2024-08-21",10.91,25,150,0,0,0.24,0,186.15,"Home"
"66","2024-08-22",12.16,13,98,0,20,0,0,143.16,"Home"
"67","2024-08-23",7.39,0,0,0,0,0,0,7.39,"Home"
"68","2024-08-24",11.35,0,0,51,0,0,0,62.35,"Home"
"69","2024-08-25",10.97,0,19,0,0,0.36,0,30.33,"Home"
"70","2024-08-26",13.67,21,184,0,0,0.44,0,219.11,"Home"
"71","2024-08-27",14.72,18,47,0,0,0,0,79.72,"Home"
"72","2024-08-28",20.93,0,0,0,0,0.24,0,21.17,"Home"
"73","2024-08-29",13.23,0,162,0,0,0,0,175.23,"Home"
"74","2024-08-30",14.05,38,110,0,0,0.18,0,162.23,"Home"
"75","2024-08-31",15.7,0,0,51,0,0,0,66.7,"Home"
"76","2024-09-01",11.74,0,69,0,0,0,0,80.74,"Home"
"77","2024-09-02",12.85,0,102,0,0,0,140,254.85,"Home"
"78","2024-09-03",5.72,78,181,0,0,0,149,413.72,"Home"
"79","2024-09-04",12.52,69,153,0,0,0,152,386.52,"Home"
"80","2024-09-05",15.35,77,243,0,21,0.52,0,356.87,"Home"
"81","2024-09-06",12.03,24,0,217,0,0.55,0,253.58,"Home"
"82","2024-09-07",14.85,0,28,47,0,0.42,0,90.27,"Home"
"83","2024-09-08",38.17,0,30,49,0,0.86,0,118.03,"Home"
"84","2024-09-09",26.23,24,107,0,0,0.42,196,353.65,"Library"
"85","2024-09-10",22.02,56,288,0,0,0.27,0,366.29,"Library"
"86","2024-09-11",15.04,0,144,0,0,0,142,301.04,"Home"
"87","2024-09-12",31.62,67,242,0,0,0.23,0,340.85,"Library"
"88","2024-09-13",39.36,71,0,0,0,0,73,183.36,"Library"
"89","2024-09-14",24.13,0,0,68,0,0,0,92.13,"Home"
"90","2024-09-15",18.3,0,0,0,0,0,61,79.3,"Home"
"91","2024-09-16",18.88,0,302,0,0,0.1,0,320.98,"Library"
"92","2024-09-17",22.52,55,138,0,0,0.09,176,391.61,"Library"
"93","2024-09-18",22.53,60,171,0,0,0.1,95,348.63,"Library"
